Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,25.82840347290039,26.023579825229216,25.19407722557925,25.19407722557925,212976
2002-08-13,25.47871208190918,26.27568576419627,25.291668580306236,25.86093443259609,153576
2002-08-14,23.722129821777344,25.53564776250818,23.242317894300598,25.53564776250818,822776
2002-08-15,23.722129821777344,23.722129821777344,23.722129821777344,23.722129821777344,0
2002-08-16,23.66518783569336,24.722395539693405,23.258569488001033,23.600129892783162,811856
2002-08-19,23.07966423034668,23.860372218396527,22.860091737390405,23.860372218396527,205880
2002-08-20,23.722129821777344,25.194087150033706,23.087803324582314,23.242317894300598,3773624
2002-08-21,24.885051727294922,25.503112331915,23.76278568133392,25.031433391793374,3011064
2002-08-22,25.958513259887695,27.048249807324588,25.576291065238397,25.706409417574402,6732480
2002-08-23,27.519943237304688,28.381975068112187,25.869072900849037,26.186234876596345,4841672
2002-08-26,27.422346115112305,28.137993512299797,27.202771184578847,27.959080422102033,2576912
2002-08-27,26.73922348022461,28.78858109313449,26.511518181813116,27.650049637473803,3694224
2002-08-28,26.76363182067871,27.064528040196336,26.21062913741499,26.657909515062364,1674960
2002-08-29,26.76363182067871,27.243441183976294,26.51152783873514,26.60098441062512,1236544
2002-08-30,28.658449172973633,29.357832947302704,26.836800201135436,26.84493306119284,3762384
2002-09-02,28.95122718811035,29.910845523534977,28.658461472993874,29.11387453186378,2389568
2002-09-03,27.593120574951172,29.235859721715293,27.324753453397324,29.113874215226915,986784
2002-09-04,28.194917678833008,28.463284799940425,26.92626791710394,27.243429737085837,1449856
2002-09-05,28.024137496948242,29.187064998448218,27.650048114335178,29.0569466286087,1061360
2002-09-06,26.983203887939453,28.138001472900886,26.682307673408992,28.138001472900886,907472
2002-09-09,26.633514404296875,27.772046317763,25.698291761092555,25.698291761092555,880848
2002-09-10,26.633514404296875,26.633514404296875,26.633514404296875,26.633514404296875,0
2002-09-11,27.308488845825195,27.780167645994787,26.779884962708614,26.779884962708614,635936
2002-09-12,27.44673728942871,28.121722724863016,27.259693850250915,27.641913591571047,781968
2002-09-13,26.666032791137695,27.4711366849763,26.43832749168087,26.487122193507798,338264
2002-09-16,26.145566940307617,27.06452366586197,25.942257710600718,26.918142013193847,288592
2002-09-17,26.909996032714844,27.080776198797167,26.52777635622678,26.617230388259557,462952
2002-09-18,26.080509185791016,26.836818533561438,25.860934223250112,26.755494841035492,315432
2002-09-19,25.860944747924805,26.722976735882927,25.535649845435184,25.860944747924805,490848
2002-09-20,25.438032150268555,25.812121369319645,24.828104885011474,24.933827100069603,501072
2002-09-23,25.007028579711914,25.68201404946811,24.901308801201196,25.616956106046352,248504
2002-09-24,24.161273956298828,24.917583442128535,23.892904232892814,24.917583442128535,267912
2002-09-25,24.348312377929688,24.559754469056816,23.421222804928355,23.60013591629794,379544
2002-09-26,24.730533599853516,25.12088630294584,24.559753361574888,24.852519129795112,178136
2002-09-27,25.03143310546875,25.372993627794592,24.649213216182705,24.649213216182705,206288
2002-09-30,24.1206111907959,25.03143518983873,23.60013997965678,24.649215268725197,202232
2002-10-01,23.917293548583984,24.559750091028715,23.502542305653307,24.23445538783628,240192
