Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2003-08-29,202.01100158691406,204.6713047055799,198.66418045845597,199.1361714110569,3212067
2003-09-01,202.13967895507812,203.38400887996087,198.8357562734523,202.86910741715303,2478236
2003-09-02,194.41627502441406,201.5390102010954,192.31378429794248,201.5390102010954,3975812
2003-09-03,191.19813537597656,198.87866816181793,189.65344407232692,194.8882276306706,3945233
2003-09-04,190.12545776367188,193.68681853287578,187.46515502667125,191.36978784601482,3682478
2003-09-05,196.77621459960938,197.37692435919575,190.8548990121391,192.14213982317733,2971415
2003-09-08,196.3042449951172,200.7237670216913,194.93118274314685,198.23510642129867,1817991
2003-09-09,195.8322296142578,201.6677238159143,193.77264958755106,197.37692118153313,2034401
2003-09-10,195.4889678955078,197.72017737735266,193.7726468658624,195.44605725086862,1476667
2003-09-11,193.64393615722656,197.4627613423606,193.08613699924766,197.37694004367538,1092801
2003-09-12,189.09567260742188,196.08967548881097,188.022971975645,195.66059523610022,2496597
2003-09-15,178.7977752685547,189.95386363140494,177.72507446443447,187.93718088186205,3469640
2003-09-16,178.92642211914062,180.21366256604094,167.42707936462614,177.63918167224034,4004037
2003-09-17,185.4055938720703,188.36624522134355,179.5700993738776,182.35912122795216,3800473
2003-09-18,176.43780517578125,185.2768479071991,174.54984158801227,185.2768479071991,2813556
2003-09-19,176.5665283203125,180.55696953058168,170.60231528027415,177.63922897839458,3442717
2003-09-22,180.81442260742188,182.61656497371965,176.56653056628068,176.7810707006261,2575343
2003-09-23,182.91690063476562,183.9896012321886,178.6690088878687,180.47115112933514,1766451
2003-09-24,188.75242614746094,189.65349741925624,182.87403374478095,185.3626943102233,2133208
2003-09-25,183.38888549804688,188.88112023330126,181.50093512743945,188.88112023330126,1916650
2003-09-26,184.33294677734375,186.95033989756143,182.8740760020651,183.98967459260498,2531520
2003-09-29,194.9740447998047,196.90490574475223,184.6332091201879,185.3626507149636,3711837
2003-09-30,199.5652618408203,200.2517929799404,195.66062826316139,197.3769495637154,3594810
2003-10-01,196.0467529296875,199.951385610945,194.8882441744722,199.09322515767917,2402620
2003-10-02,196.0467529296875,196.0467529296875,196.0467529296875,196.0467529296875,0
2003-10-03,201.15283203125,201.6677336101788,196.43294890420327,196.5187701988551,2511914
2003-10-06,207.07418823242188,207.97525962419337,201.66777297628653,203.04083539179487,3094324
2003-10-07,203.85604858398438,211.4507618672223,202.56880771280933,209.39118171113876,2440562
2003-10-08,206.1730499267578,210.24931210012764,203.4698497232662,204.8858092404305,1859277
2003-10-09,221.44830322265625,222.9071865263319,206.68795855778455,206.68795855778455,6993550
2003-10-10,230.93104553222656,233.76296531665312,222.95013544968538,223.6795772696091,3707816
2003-10-13,236.9381561279297,240.58533882000887,233.4196922930682,234.2778529264986,3693070
2003-10-14,227.32676696777344,239.083579176914,225.52462423797274,238.56867751283,5123854
2003-10-15,232.13243103027344,234.0203947342085,224.23734341797638,227.32672666578748,3478259
2003-10-16,237.02395629882812,241.4005541879703,233.8487517626055,234.87855490651063,4100489
2003-10-17,242.25880432128906,245.77726914345587,236.38042328396415,240.75702279137565,4126840
2003-10-20,235.77963256835938,244.4041364050934,234.53528918203196,242.00129712202857,2192534
2003-10-21,224.19447326660156,239.42682503878214,220.54729044791043,236.93816435323697,3223848
2003-10-22,226.29696655273438,239.42681359697497,223.59373964158146,226.51150670828721,2569557
2003-10-23,226.38275146484375,234.49237945498243,224.53771144800822,226.98347434892167,3114998
2003-10-24,244.57577514648438,249.7247388337788,223.1217597827577,227.412562855503,5225375
2003-10-27,243.03109741210938,255.73186407867846,241.65803518597076,253.0715609259693,5831782
2003-10-28,245.69134521484375,250.49704934145035,238.39698083004214,242.85942598810124,5640636
2003-10-29,261.739013671875,264.5709335081401,245.60560297687522,250.11094665483373,7996572
2003-10-30,262.5112609863281,266.63044661758227,259.16444066585586,263.026162463857,7108567
2003-10-31,276.5851135253906,278.2156393962202,263.026188353401,264.1417865070405,9924397
2003-11-03,298.296630859375,299.927130767381,278.0440353895034,278.0440353895034,9820043
2003-11-04,299.9270935058594,306.020038268381,296.2370138467584,304.64697623628064,7884723
2003-11-05,288.4277648925781,300.3561912501447,283.27880161400424,300.3561912501447,7280790
2003-11-06,290.4444885253906,296.6661533676451,286.6256630776541,291.77462708503714,6122862
2003-11-07,285.9819641113281,294.6922872628198,284.265643246444,292.54688618171457,4584798
2003-11-10,293.2334289550781,296.06534789412643,280.7042814585746,289.2000644646974,1953978
2003-11-11,292.3753356933594,297.6530183043717,290.3586529848794,294.9927151265248,3262766
2003-11-12,294.3061828613281,297.78172275215064,290.10117504707125,290.10117504707125,3302571
2003-11-13,297.56707763671875,306.1057829139962,290.0581751729227,296.02239960547007,7982920
2003-11-14,282.59228515625,297.3526584768716,279.88908440789345,296.92357816160916,4834168
2003-11-17,300.356201171875,303.35976318359377,289.2001136997768,292.3323945599156,4081415
2003-11-18,295.2500915527344,304.1320574241391,291.7745522151744,302.9306380351664,4672908
2003-11-19,283.7079162597656,296.9235850381161,282.33485398133,296.9235850381161,4672785
2003-11-20,277.2287292480469,290.9592967626057,275.4695107608357,284.8663783792035,5484243
2003-11-21,278.0868835449219,280.61846734981594,269.548202774729,278.04398599798276,8100784
2003-11-24,280.83306884765625,285.76749251724834,278.044046773539,282.07741224862536,5287524
2003-11-25,289.45751953125,290.4873225832077,282.03443661440855,283.6649362891919,5021011
2003-11-26,289.45751953125,289.45751953125,289.45751953125,289.45751953125,0
2003-11-27,292.3753356933594,297.7817371604483,290.401550540577,291.77461277968996,5069219
2003-11-28,295.72210693359375,302.07248925397806,293.61960327995575,294.69230388099976,3606119
2003-12-01,305.5480651855469,307.0498462062097,297.6530035331662,297.99626252866403,4405346
2003-12-02,303.3596496582031,314.94481308220804,298.72558952639565,313.22849257494806,4496428
2003-12-03,307.13568115234375,312.2846448805942,303.78885996677775,305.84844022028113,3993295
2003-12-04,310.9974060058594,313.05698627298744,304.8615627602341,307.4360446413902,4952879
2003-12-05,303.9604797363281,314.9449243892995,302.24415862249,312.8853442904901,3310018
2003-12-08,304.9044494628906,310.6541359350722,298.33952613741843,305.50517235603786,2681496
2003-12-09,314.42999267578125,317.94845585966243,305.67677154768825,308.93777087578536,2685187
2003-12-10,314.6446228027344,319.5361493831458,311.7268815920446,316.2322253727968,3588806
2003-12-11,312.7137451171875,317.86270917352647,310.65416473244903,317.519450140901,2250383
2003-12-12,311.9413757324219,314.9449378096254,306.3633318747582,314.6875001071726,3012320
2003-12-15,309.58135986328125,314.77321973328407,307.6504989909531,312.7994613171615,2126368
2003-12-16,306.6207580566406,310.2250428894553,303.01649941280795,310.2250428894553,2089553
2003-12-17,306.3204040527344,312.11298748639655,304.7756994237029,306.36330160257677,2851693
2003-12-18,312.027099609375,313.5288801790952,305.24763827529017,308.07955687402983,2281018
2003-12-19,308.3799743652344,314.81617797858013,306.92109107061754,314.47291902366425,2514435
2003-12-22,307.2215270996094,310.48252724686,305.67684833280344,308.0796877898317,2007570
2003-12-23,307.950927734375,321.8531133431106,306.79240571973475,310.65412830921395,2799280
2003-12-24,304.9044494628906,311.42647523413075,303.4026684190056,309.3668950403136,3127028
2003-12-25,304.9044494628906,304.9044494628906,304.9044494628906,304.9044494628906,0
2003-12-26,316.91864013671875,318.3346258144389,306.363277196303,309.71009767577783,3181691
2003-12-29,328.4609680175781,329.5336687622469,318.3775810176917,318.3775810176917,3242665
2003-12-30,318.5492248535156,332.0223305456575,315.3740201613321,332.0223305456575,2283787
2003-12-31,321.9818420410156,325.24284158660817,316.06051341978434,320.6946012431795,2088465
2004-01-01,321.7673034667969,327.345346951109,321.0378617733598,324.38468262615083,2154224
2004-01-02,326.44439697265625,330.9926653982371,323.6982978409583,324.12737828550405,2620056
2004-01-05,326.4013366699219,335.0258388297789,325.2428148094539,328.67545665440855,2978921
2004-01-06,317.5622863769531,330.1343588046671,313.7434878193136,326.14389148038634,1485287
2004-01-07,327.8602600097656,330.3918443577106,312.79955134645587,319.83647902655144,2860924
2004-01-08,343.5645751953125,347.51211889146913,331.42160887097845,331.42160887097845,3536049
2004-01-09,377.3332214355469,384.45594384821305,348.41319911244307,351.84584146823073,7713917
