Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
1996-01-01,1.1499706506729126,1.1692654417235007,1.128746334514855,1.1692654417235007,700000
1996-01-02,1.148040533065796,1.1673354061631895,1.1383931885218725,1.1499700571774447,824000
1996-01-03,1.151899814605713,1.1557587719140898,1.1383935100287934,1.148040857297336,568000
1996-01-04,1.1441823244094849,1.149970808521618,1.1345349735623749,1.1519002418891064,564000
1996-01-05,1.1422529220581055,1.149970839747295,1.1383939632135105,1.1441823554779846,378000
1996-01-08,1.1287461519241333,1.1383935918912276,1.1229577615477218,1.142252549477104,474000
1996-01-09,1.0920860767364502,1.128746222083356,1.0805092032592396,1.128746222083356,966000
1996-01-10,1.0959447622299194,1.105592200399367,1.0843678916294557,1.0920858053630982,452000
1996-01-11,1.0920860767364502,1.111380957869946,1.0805092032592396,1.095945034562187,636000
1996-01-12,1.0901566743850708,1.0940156323189814,1.0805092335478874,1.0920861073496189,862000
1996-01-15,1.0766501426696777,1.0862975823155994,1.0708617524859674,1.0901565397730075,362000
1996-01-16,1.0573557615280151,1.0805095151661492,1.0573557615280151,1.0766505562264603,716000
1996-01-17,1.0245540142059326,1.0785795023469893,1.0149066680411365,1.0573551935767753,858000
1996-01-18,1.0187656879425049,1.024554077598572,1.003329767515138,1.024554077598572,660000
1996-01-19,0.9859647750854492,1.0149070072630502,0.978246858772065,1.0187659654197423,852000
1996-01-22,0.982105553150177,0.9994708141888374,0.9724581143471919,0.9859645102704121,718000
1996-01-23,0.9763172268867493,1.0033299310285302,0.9685993114176691,0.9821057094909643,798000
1996-01-24,0.9512341618537903,0.9763174385691925,0.9454457699993618,0.9763174385691925,898000
1996-01-25,0.9396569728851318,0.9454454548146743,0.9300096256756264,0.9512338447394179,780000
1996-01-26,0.9396569728851318,0.9396569728851318,0.9396569728851318,0.9396569728851318,0
1996-01-29,0.9589517116546631,0.9628106687476575,0.9242210978177132,0.939656926189691,622000
1996-01-30,0.9724584817886353,0.9840353575236392,0.958952080762049,0.958952080762049,904000
1996-01-31,0.999471127986908,1.0168364864824628,0.9840352946596698,0.9724584196642412,688000
1996-02-01,1.072791337966919,1.0805092539806882,1.0033300018381786,0.9994710438312938,848000
1996-02-02,1.1248873472213745,1.1557590121041452,1.0805092829499823,1.0727913667292894,1638000
1996-02-05,1.1557590961456299,1.196278205253039,1.1383938293887583,1.1248874290180135,1812000
1996-02-06,1.148040533065796,1.176982750707113,1.1383931885218725,1.155758445502844,1776000
1996-02-07,1.1055923700332642,1.1287461147867306,1.0901565401976197,1.148040902081286,1172000
1996-02-08,1.175053596496582,1.2155726923761052,1.1133101903933096,1.105592276131,1334000
1996-02-09,1.4085208177566528,1.4104502504360121,1.2927519128414642,1.1750536672517171,3440000
1996-02-12,1.3544957637786865,1.464476222463326,1.3313420120571302,1.4085212764671493,5702000
1996-02-13,1.3313416242599487,1.3892259867031094,1.283104609554913,1.3892259867031094,2902000
1996-02-14,1.4316747188568115,1.4664053389351452,1.3853671334142221,1.3313417244034809,4928000
1996-02-15,1.422027349472046,1.4548285382991997,1.416238958505381,1.4316747904229083,2382000
1996-02-16,1.3737903833389282,1.4181684478683654,1.3544955926750033,1.4220274060011504,2792000
1996-02-19,1.356425166130066,1.4085211487834357,1.3506366827219927,1.3737904323446408,2594000
1996-02-20,1.298540472984314,1.3564249289231216,1.2753867274107136,1.3564249289231216,2722000
1996-02-21,1.298540472984314,1.298540472984314,1.298540472984314,1.298540472984314,0
1996-02-22,1.321694254875183,1.3409890433833622,1.312046906623498,1.2985405086653683,1696000
1996-02-23,1.3197647333145142,1.3506363928524623,1.3120468184300274,1.3216941660332346,1374000
1996-02-26,1.3062584400177002,1.3409890597564738,1.3023994822689475,1.3197648381407394,1294000
1996-02-27,1.310117244720459,1.3216941166143235,1.2734571043874883,1.3081878120738812,1682000
1996-02-28,1.2831050157546997,1.3294125203690559,1.2753870983189737,1.3101177267797408,844000
1996-02-29,1.1827718019485474,1.2734573628591965,1.1576885284183274,1.2734573628591965,2550000
1996-03-01,1.2001371383666992,1.215573063610221,1.157688596960278,1.1827718719755749,1464000
1996-03-04,1.1827718019485474,1.1962781092303443,1.176983318824336,1.2001370673115461,1294000
1996-03-05,1.1827718019485474,1.1827718019485474,1.1827718019485474,1.1827718019485474,0
1996-03-06,1.1962779760360718,1.2155728562985955,1.1885600607329856,1.1827716702580746,720000
1996-03-07,1.1808421611785889,1.2155728725104826,1.1673358552204602,1.1962779919906266,972000
1996-03-08,1.1769832372665405,1.1847011528941391,1.1576884481975438,1.1808421950803398,774000
1996-03-11,1.1557590961456299,1.1750539801052153,1.1480411793637257,1.1769834132982788,648000
1996-03-12,1.1403229236602783,1.1557587526363204,1.130675576552651,1.1557587526363204,800000
1996-03-13,1.1885602474212646,1.1962781639366113,1.1576885813598776,1.1403232231979363,972000
1996-03-14,1.1847013235092163,1.2155730824704272,1.175053973587758,1.1885602818787646,1058000
1996-03-15,1.1576886177062988,1.1962782014945788,1.1576886177062988,1.1962782014945788,1614000
1996-03-18,1.151899814605713,1.1673357358440202,1.1306755954120395,1.157688296570678,776000
1996-03-19,1.1403229236602783,1.1576882772607247,1.1190987048206196,1.1518997953923098,1234000
1996-03-20,1.1403229236602783,1.1403229236602783,1.1403229236602783,1.1403229236602783,0
1996-03-21,1.1596179008483887,1.1634768584217274,1.1383935881926222,1.1403230209768886,1286000
1996-03-22,1.1557590961456299,1.1654065381254226,1.1326053457999175,1.1596181465414073,388000
1996-03-25,1.167335867881775,1.1769832162415323,1.1499705120274777,1.15575890264237,826000
1996-03-26,1.175053596496582,1.1885599004532261,1.149970329141678,1.1673356822342724,1286000
